StandardName	InPopulation	StandardZnfContent	Alleva.2021	Baudat.2010	Berg.2010	Berg.2011	Beyter.2021	Borel.2012	Hussin.2013	Oliver.2009	Parvanov.2010	Ponting.2011	GenBank.2021
P012	TRUE	Z001_Z002_Z003_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	L3	NA	L3	L3	NA	NA	NA	NA	NA	L3	NA
P013	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z003_Z004_Z004_Z003_Z006_Z011_Z008_Z012_Z008_Z009_Z010	L4	NA	L4	L4	NA	NA	NA	NA	NA	L4	NA
P014	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z009_Z010	L5	NA	L5	L5	NA	NA	NA	NA	NA	L5	NA
P015	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z003_Z006_Z011_Z008_Z012_Z015_Z009_Z010	L6	NA	L6	L6	NA	NA	NA	NA	NA	L6	NA
P016	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z007_Z008_Z006_Z010	L7	NA	L7	L7	NA	NA	NA	NA	NA	L7	NA
P017	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z003_Z006_Z011_Z008_Z012_Z008_Z009_Z010	L8	NA	L8	L8	NA	NA	NA	NA	NA	L8	NA
P018	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z016_Z006_Z017_Z010	L9	NA	L9	L9	NA	NA	NA	NA	NA	L9	NA
P019	TRUE	Z001_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	L10	NA	L10	L10	NA	NA	NA	NA	NA	L10	NA
P020	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z009_Z010	L11	NA	L11	L11	NA	NA	NA	NA	AA1	L11	NA
P021	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z003_Z006_Z007_Z008_Z006_Z010	L12	NA	L12	L12	NA	NA	NA	NA	NA	L12	X12
P022	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z017_Z009_Z010	L13	NA	L13	L13	NA	NA	NA	NA	NA	L13	NA
P023	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z011_Z008_Z012_Z015_Z009_Z010	L14	NA	L14	L14	NA	NA	NA	NA	NA	L14	NA
P024	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z011_Z008_Z012_Z008_Z009	L15	NA	L15	L15	NA	NA	NA	NA	NA	L15	NA
P025	TRUE	Z001_Z002_Z003_Z004_Z018_Z003_Z006_Z011_Z008_Z012_Z008_Z009_Z010	L16	NA	L16	L16	NA	NA	NA	NA	NA	L16	NA
P026	TRUE	Z001_Z002_Z003_Z004_Z004_Z011_Z003_Z003_Z006_Z011_Z008_Z012_Z008_Z009_Z010	L17	NA	L17	L17	NA	NA	NA	NA	NA	L17	NA
P027	TRUE	Z001_Z002_Z004_Z004_Z019_Z003_Z006_Z011_Z008_Z012_Z015_Z009_Z010	L18	NA	L18	L18	NA	NA	NA	NA	NA	L18	NA
P028	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z011_Z008_Z012_Z008_Z017_Z009_Z010	L19	NA	L19	L19	NA	L19	NA	NA	NA	L19	NA
P029	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z011_Z006_Z017_Z010	L20	NA	L20	L20	NA	NA	NA	NA	NA	L20	NA
P030	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	L21	NA	L21	L21	NA	NA	NA	NA	NA	L21	NA
P031	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z008_Z006_Z009_Z010	L22	NA	L22	L22	NA	NA	NA	NA	NA	L22	NA
P032	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z006_Z008_Z006_Z017_Z010	L23	NA	L23	L23	NA	NA	NA	NA	NA	L23	NA
P033	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z020_Z016_Z006_Z017_Z010	L24	NA	L24	L24	NA	NA	NA	NA	NA	NA	NA
P034	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z021_Z008_Z006_Z009_Z010	M4	NA	NA	L25	NA	NA	NA	NA	NA	NA	NA
P035	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z017_Z010	M10	NA	NA	L26	NA	NA	L37	NA	NA	NA	NA
P036	TRUE	Z001_Z002_Z003_Z004_Z004_Z022_Z003_Z006_Z007_Z008_Z006_Z009_Z010	L27	NA	NA	L27	NA	NA	NA	NA	NA	NA	NA
P037	TRUE	Z001_Z002_Z003_Z004_Z007_Z008_Z006_Z009_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	L28	NA	NA	NA	NA	NA
P038	TRUE	Z001_Z002_Z003_Z004_Z005_Z003_Z004_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	L29	NA	NA	NA	NA	NA
P039	TRUE	Z001_Z002_Z003_Z004_Z004_Z008_Z003_Z006_Z011_Z008_Z012_Z008_Z009_Z010	NA	NA	NA	NA	NA	L30	NA	NA	NA	NA	NA
P040	TRUE	Z001_Z002_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	Av:0128	NA	NA	NA	NA	L31	NA	NA	NA	NA	NA
P041	TRUE	Z001_Z002_Z003_Z069_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M5	NA	NA	NA	NA	NA	L32	NA	NA	NA	NA
P042	TRUE	Z001_Z002_Z003_Z004_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	Av:0024	NA	NA	NA	NA	NA	L33	NA	NA	NA	NA
P043	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z070_Z010	NA	NA	NA	NA	NA	NA	L34	NA	NA	NA	NA
P044	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z071_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	L35	NA	NA	NA	NA
P045	TRUE	Z001_Z002_Z018_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	L36	NA	NA	NA	NA
P046	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z068_Z007_Z008_Z006_Z017_Z010	NA	NA	NA	NA	NA	NA	L38	NA	NA	NA	NA
P047	TRUE	Z001_Z002_Z003_Z006_Z007_Z008_Z006_Z009_Z010	Av:0001	NA	NA	NA	NA	NA	NA	NA	NA	NA	L39
P048	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z017_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	L40
P049	TRUE	Z001_Z002_Z003_Z004_Z051_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	L41
P050	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z060_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	L42
P051	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z008_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	L43
P052	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009	Av:0017	NA	NA	NA	NA	NA	NA	NA	NA	NA	L44
P053	TRUE	Z001_Z081_Z003_Z004_Z004_Z005_Z003_Z071_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	L45
P054	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z045_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	L46
P055	TRUE	Z001_Z002_Z003_Z004_Z085_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	isolate.10	NA	NA	NA
P056	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z018_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	isolate.10b	NA	NA	NA
P057	TRUE	Z001_Z002_Z003_Z004_Z085_Z003_Z087_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	isolate.18a	NA	NA	NA
P058	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z086_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	isolate.6a	NA	NA	NA
P059	TRUE	Z001_Z084_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	isolate.7	NA	NA	NA
P060	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z090_Z091_Z045_Z065_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	AA11	NA	NA
P061	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z088_Z012_Z015_Z089_Z010	NA	NA	NA	NA	NA	NA	NA	NA	AA2	NA	NA
P062	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z092_Z008_Z012_Z008_Z045_Z010	NA	NA	NA	NA	NA	NA	NA	NA	CH3	NA	NA
P074	TRUE	Z001_Z002_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010	Av:0003	NA	NA	NA	NA	NA	NA	NA	NA	NA	X13
P081	TRUE	Z001_Z002_Z003_Z004_Z003_Z003_Z006_Z011_Z008_Z012_Z008_Z009_Z010	Cv:0212	NA	NA	NA	NA	NA	NA	NA	NA	NA	X8
P601	TRUE	Z001_Z002_Z003_Z004_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	chr5:23526974:DN.4	NA	NA	NA	NA	NA	NA
P602	TRUE	Z001_Z002_Z003_Z072_Z004_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P603	TRUE	Z001_Z002_Z003_Z018_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P604	TRUE	Z001_Z002_Z003_Z004_Z005_Z003_Z006_Z007_Z008_Z045_Z010	M3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P605	TRUE	Z001_Z002_Z003_Z004_Z004_Z073_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P606	TRUE	Z001_Z002_Z003_Z004_Z043_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P607	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z007_Z074_Z006_Z009_Z010	M8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P608	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z075_Z010	M9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P609	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z011_Z017_Z010	M11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P610	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z003_Z004_Z004_Z003_Z006_Z011_Z008_Z012_Z028_Z008_Z009_Z010	M12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P611	TRUE	Z001_Z002_Z043_Z004_Z004_Z003_Z003_Z003_Z006_Z011_Z008_Z012_Z015_Z009_Z010	M13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P612	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z003_Z006_Z011_Z008_Z076_Z008_Z009_Z010	M14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P613	TRUE	Z001_Z002_Z003_Z004_Z004_Z043_Z004_Z004_Z043_Z043_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P614	TRUE	Z001_Z002_Z077_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z008_Z006_Z009_Z010	M16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P615	TRUE	Z001_Z002_Z003_Z004_Z004_Z004_Z003_Z003_Z006_Z007_Z008_Z006_Z010	M17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P616	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z011_Z008_Z012_Z048_Z009_Z010	M18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P617	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z068_Z007_Z008_Z006_Z009_Z010	M19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P618	TRUE	Z001_Z002_Z003_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M20	NA	NA	NA	NA	NA	NA	NA	NA	NA	X5
P619	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z004_Z005_Z003_Z006_Z007_Z008_Z008_Z006_Z009_Z010	M21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P620	TRUE	Z001_Z002_Z003_Z072_Z078_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M22	NA	NA	NA	NA	NA	NA	NA	NA	NA	X14
P621	TRUE	Z001_Z002_Z003_Z004_Z004_Z079_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P622	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z080	M24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P623	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z048_Z008_Z008_Z009_Z010	M25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P624	TRUE	Z001_Z002_Z003_Z081_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P625	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z082_Z006_Z007_Z008_Z006_Z009_Z010	M27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P626	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z003_Z006_Z011_Z008_Z012_Z015_Z009_Z010	M28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P627	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z048_Z008_Z012_Z008_Z009_Z010	M29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P628	TRUE	Z001_Z083_Z003_Z004_Z004_Z005_Z003_Z006_Z007_Z011_Z006_Z017_Z010	M30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P629	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z007_Z008_Z006_Z063_Z009_Z010	M31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P630	TRUE	Z001_Z002_Z003_Z043_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	M32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P631	TRUE	Z001_Z002_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z011_Z008_Z003_Z008_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X1
P632	TRUE	Z001_Z002_Z003_Z072_Z004_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X2
P633	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z003_Z006_Z007_Z008_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X3
P634	TRUE	Z001_Z002_Z004_Z004_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X4
P635	TRUE	Z001_Z002_Z003_Z004_Z004_Z005_Z005_Z093_Z007_Z008_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X6
P636	TRUE	Z001_Z002_Z003_Z043_Z003_Z094_Z004_Z005_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X7
P637	TRUE	Z001_Z002_Z003_Z004_Z018_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X9
P638	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z006_Z011_Z008_Z012_Z095_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X10
P639	TRUE	Z001_Z096_Z003_Z004_Z018_Z003_Z097_Z007_Z011_Z048_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	X11
P640	TRUE	Z001_Z002_Z003_Z004_Z004_Z003_Z038_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UP.005
P641	TRUE	Z001_Z002_Z003_Z004_Z098_Z003_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UP.006
P642	TRUE	Z001_Z002_Z003_Z004_Z004_Z099_Z003_Z006_Z007_Z008_Z006_Z009_Z010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UP.007
